customer_id,churned,period_count,from_calls_Jan,from_duration_Jan,from_dropped_Jan,to_calls_Jan,to_duration_Jan,to_dropped_Jan,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,period,from_calls_Feb,from_duration_Feb,from_dropped_Feb,to_calls_Feb,to_duration_Feb,to_dropped_Feb,from_calls_Mar,from_duration_Mar,from_dropped_Mar,to_calls_Mar,to_duration_Mar,to_dropped_Mar,from_calls_Apr,from_duration_Apr,from_dropped_Apr,to_calls_Apr,to_duration_Apr,to_dropped_Apr,from_calls_May,from_duration_May,from_dropped_May,to_calls_May,to_duration_May,to_dropped_May,from_calls_Jun,from_duration_Jun,from_dropped_Jun,to_calls_Jun,to_duration_Jun,to_dropped_Jun,from_calls_Jul,from_duration_Jul,from_dropped_Jul,to_calls_Jul,to_duration_Jul,to_dropped_Jul,from_calls_Aug,from_duration_Aug,from_dropped_Aug,to_calls_Aug,to_duration_Aug,to_dropped_Aug,from_calls_Sep,from_duration_Sep,from_dropped_Sep,to_calls_Sep,to_duration_Sep,to_dropped_Sep,from_calls_Oct,from_duration_Oct,from_dropped_Oct,to_calls_Oct,to_duration_Oct,to_dropped_Oct,from_calls_Nov,from_duration_Nov,from_dropped_Nov,to_calls_Nov,to_duration_Nov,to_dropped_Nov,from_calls_Dec,from_duration_Dec,from_dropped_Dec,to_calls_Dec,to_duration_Dec,to_dropped_Dec
C0000000584,0,10,,,,,,,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,,,,,,,,,,,,,159,1559,7,31,321,4,160,1433,14,31,305,2,146,1420,11,19,209,2,172,1504,11,35,375,5,173,1681,9,41,433,1,158,1524,8,34,259,3,154,1472,5,40,384,5,141,1445,9,43,391,8,169,1480,5,31,247,2
C0000000019,0,12,85,705,2,46,425,8,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,94,736,2,40,492,8,104,894,7,48,493,5,89,787,2,47,409,4,111,1068,7,52,517,4,113,1020,6,48,439,11,121,1112,3,55,466,9,89,791,2,52,502,12,109,918,5,39,377,5,102,934,4,47,435,10,91,855,4,48,381,3,95,896,5,41,384,2
C0000000192,1,4,,,,,,,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,238,2,21,187,2,17,145,1,28,256,3,15,190,0,31,276,2
C0000000929,0,12,13,142,3,83,719,7,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,9,65,4,81,660,9,6,69,1,84,842,10,12,121,1,74,670,7,14,109,2,83,694,9,10,98,4,84,800,6,16,172,6,87,780,13,11,134,5,80,780,5,13,134,1,82,790,13,13,121,2,98,918,8,10,80,3,78,755,11,12,128,3,82,670,7
C0000000818,1,7,,,,,,,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,,,,,,,7,81,2,44,473,2,13,109,1,39,379,3,13,105,2,38,294,5,13,137,3,33,383,4,10,84,1,35,414,2,15,153,1,44,433,6,,,,,,,,,,,,,,,,,,,,,,,,
C0000000737,1,3,,,,,,,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,,,,,,,,,,,,,,,,,,,,,,,,,10,90,3,31,259,1,16,128,1,39,283,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0000000619,1,6,66,630,10,34,281,7,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,59,505,9,38,367,5,65,618,10,39,339,6,67,637,15,40,363,4,73,544,13,31,288,3,55,562,11,47,457,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0000000857,1,3,85,673,7,68,590,9,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,67,578,4,66,535,2,86,797,3,54,508,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0000000600,0,12,15,138,2,65,542,9,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,18,161,2,59,636,5,13,156,1,65,612,6,24,187,2,75,701,10,11,163,0,61,634,5,22,169,1,62,463,7,14,175,0,60,533,4,17,179,1,75,624,10,13,133,0,57,553,8,17,181,1,67,659,10,15,164,3,68,699,7,17,153,2,68,619,11
C0000000853,1,10,,,,,,,gender,age,type,location,callcenter_callcount,text_package_deal,voice_package_deal,4g_handset_deal,all_u_can_eat_data_deal,accidental_damage_cover_deal,europe_roamer_deal,americas_roamer_deal,asia_africa_roamer_deal,extra_handset_deal,musicsubscription_deal,Jan,,,,,,,,,,,,,92,896,4,49,476,7,82,728,3,53,468,5,94,809,2,34,263,3,91,857,4,41,371,4,73,734,7,49,435,9,93,828,5,54,556,5,95,968,9,54,469,10,66,611,1,56,574,5,85,787,1,50,339,11
